id	htid	person_id	author1_normalized	author1	author2	author3	author4	title	imprint	date	place	isbn	oclc	lccn
7207	mdp.39015002385360	4397	Levis, Larry	Levis, Larry.	null	null	null	Wrecking crew; poems.	University of Pittsburgh Press [1972]	1972	pau	['0822932385']	['304016']	['78181398']
7208	mdp.39015002385337	87	Levine, Philip	Levine, Philip 1928-	null	null	null	"Red dust; poems. With prints by Marcia Maris from the series ""Vital parts""."	Kayak Books, 1971]	1971	cau	[]	['597611']	['76356892']
7209	mdp.39015046842806	3217	Spencer, Scott	Spencer, Scott.	null	null	null	Endless love / by Scott Spencer.		1979	nyu	['0394506057 :']	['4883289']	['79002089']
7210	uc1.b3829853	4365	Warren, Robert Penn	Warren, Robert Penn 1905-1989	null	null	null	Selected essays.	Random House [1958]	1958	nyu	[]	['269348']	['58007674/L']
7211	mdp.39015011311654	5	Bly, Robert	Bly, Robert.	null	null	null	Selected poems / Robert Bly.	Perennial Library, c1986.	1986	nyu	['0060960485 (pbk.) :,0060153342 :']	['12695827']	['84047556']
7212	mdp.39015016435433	4337	Kentfield, Calvin	Kentfield, Calvin 1924-	null	null	null	The Alchemist's voyage; an adventure.	Harcourt, Brace [1955]	1955	nyu	[]	['1545734']	['55010149/L']
7213	mdp.39015030700549	4337	Kentfield, Calvin	Kentfield, Calvin 1924-	null	null	null	The great green; a loose memoir of merchant marine life in the middle of the twentieth century with examples of true experience being turned into fiction.	Dial Press, 1974.	1974	nyu	[]	['668439']	['73010245']
7214	uc1.b3487004	3119	Hollo, Anselm	Hollo, Anselm.	null	null	null	Maya: works, 1959-1969.	Cape Goliard, 1970.	1970	enk	['0206619723:']	['125925']	['71541416']
7215	uiug.30112010501978	4367	Shapiro, Karl Jay	Shapiro, Karl Jay 1913-2000	Gertrude Clarke Whittall Poetry and Literature Fund	null	null	Randall Jarrell, by Karl Shapiro.	Published for the Library of Congress by the Gertrude Clarke Whittall Poetry and Literature Fund; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.] 1967.	1967	dcu	[]	['885842']	['67060005']
7216	mdp.39015021970754	3119	Hollo, Anselm	Hollo, Anselm.	null	null	null	& it is a song; poems.	Migrant Press, 1965]	1965	enk	[]	['845210']	[]
7217	mdp.39015008530886	3641	Hoagland, Edward	Hoagland, Edward.	null	null	null	Walking the Dead Diamond River.	Random House [1973]	1973	nyu	['0394483618:']	['495204']	['72010806']
7218	mdp.39015007047932	3201	Hughes, David	Hughes, David 1930-2005	null	null	null	The pork butcher / David Hughes.	Schocken Books, 1985, c1984.	1985	nyu	['0805239847']	['11289875']	['84023462']
7219	mdp.39015009300065	4397	Levis, Larry	Levis, Larry.	null	null	null	Winter stars / Larry Levis.	University of Pittsburgh Press, c1985.	1985	pau	['0822953684 (pbk.),0822935112']	['11316140']	['84021957']
7220	uc1.b4975886	3349	Cassill, R. V.	Cassill, R. V. (Ronald Verlin) 1919-2002	null	null	null	After Goliath : a novel / by R.V. Cassill.	Ticknor & Fields, 1985.	1985	nyu	['0899193250 :']	['11187567']	['84016225']
7221	mdp.39015011337253	44	Tiempo, Edilberto K.	Tiempo, Edilberto K.	null	null	null	Cracked mirror : a novel / by Edilberto K. Tiempo.	New Day Publishers, 1984.	1984	ph	[]	['12051933']	[]
7222	mdp.39015008917653	3643	Busch, Frederick	Busch, Frederick 1941-2006	null	null	null	Too late American boyhood blues : ten stories / Frederick Busch.	D.R. Godine, 1984.	1984	mau	['087923511X :']	['10506609']	['83048895']
7223	mdp.39015012215896	3643	Busch, Frederick	Busch, Frederick 1941-2006	null	null	null	When people publish : essays on writers and writing / by Frederick Busch.	University of Iowa Press, 1986.	1986	iau	['0877451451']	['13456475']	['86007051']
7224	uc1.b4978164	3640	Grumbach, Doris	Grumbach, Doris.	null	null	null	The magician's girl / by Doris Grumbach.	Macmillan, c1987.	1987	nyu	['0025463306']	['13526226']	['86008467']
7225	mdp.39015014305091	786	Johnson, Denis	Johnson, Denis 1949-	null	null	null	The stars at noon / Denis Johnson.	Knopf : Distributed by Random House, 1986.	1986	nyu	['0394538404 :']	['13524395']	['86045274']
7226	uc1.b4464366	3099	Kenney, Richard	Kenney, Richard.	null	null	null	Orrery / Richard Kenney.	Atheneum, 1985.	1985	nyu	['0689116403 (pbk.)', '0689116314 :']	['13045287']	['85047604']
7227	mdp.39015000677453	3643	Busch, Frederick	Busch, Frederick 1941-2006	null	null	null	Hawkes: a guide to his fictions.	Syracuse University Press, 1973.	1973	nyu	['0815600895']	['508001']	['72007765']
7228	uc1.b3688225	17	Hall, Oakley M.	Hall, Oakley M.	null	null	null	A game for eagles, by Oakley Hall.	Morrow, 1970.	1970	nyu	[]	['118825']	['73121693']
7229	mdp.39015011027862	1089	Kinsella, W. P.	Kinsella, W. P.	null	null	null	Dance me outside : more tales from the Ermineskin Reserve / by W.P. Kinsella.	D.R. Godine, 1986, c1977.	1986	mau	['0879235837 :']	['12421968']	['85070142']
7230	mdp.39015054095545	3128	McDowell, Frederick P. W.	McDowell, Frederick P. W.	null	null	null	Ellen Glasgow and the ironic art of fiction.	University of Wisconsin Press, 1960.	1960	miu	[]	['244822']	['60009551/L']
