htid	title_id	title	author	year	first_week	debut_rank	best_rank
mdp.39015031604013	6338	THE SMILING REBEL	Harnett T. Kane	1955	1955-11-06	13	9
uc1.$b103883	6338	THE SMILING REBEL	Harnett T. Kane	1955	1955-11-06	13	9
mdp.39015040599196	6339	THE SMITHSONIAN INSTITUTION	Gore Vidal	1998	1998-04-05	3	14
mdp.39015053384130	6341	THE SMOKE JUMPER	Nicholas Evans	2001	2001-09-09	3	3
pst.000030567658	6342	THE SNAKE PIT	Mary Jane Ward	1946	1946-04-28	1	2
uc1.32106009068112	6342	THE SNAKE PIT	Mary Jane Ward	1946	1946-04-28	1	2
mdp.39015060121509	6347	THE SOCIETY	Michael Palmer	2004	2004-09-05	7	15
mdp.39015000599194	6348	THE SOJOURNER	Marjorie Kinnan Rawlings	1953	1953-01-18	14	5
uc1.$b104059	6348	THE SOJOURNER	Marjorie Kinnan Rawlings	1953	1953-01-18	14	5
mdp.39015047442481	6349	THE SOLDIER SPIES	W. E. B. Griffin	1999	1999-07-18	8	7
uc1.$b105367	6353	THE SON OF ADAM WYNGATE	Mary O'Hara	1952	1952-04-27	9	8
mdp.39015030059342	6354	THE SON OF MARIETTA	Johan Fabricius	1936	1936-01-20	2	2
mdp.49015001442731	6355	THE SONG OF BERNADETTE	Franz Werfel	1942	1942-05-25	3	1
mdp.39015011876854	6358	THE SONGS OF DISTANT EARTH	Arthur C. Clarke	1986	1986-05-04	6	11
mdp.49015000569328	6358	THE SONGS OF DISTANT EARTH	Arthur C. Clarke	1986	1986-05-04	6	11
mdp.39015014858867	6360	THE SOUND OF BOW BELLS	Jerome Weidman	1962	1962-08-19	14	12
uc1.$b106147	6360	THE SOUND OF BOW BELLS	Jerome Weidman	1962	1962-08-19	14	12
mdp.39015063940004	6362	THE SOUND OF RUNNING FEET	Josephine Lawrence	1937	1937-02-08	7	7
uc1.$b106094	6362	THE SOUND OF RUNNING FEET	Josephine Lawrence	1937	1937-02-08	7	7
mdp.39015004022375	6364	THE SOUND OF WAVES	Yukio Mishima	1956	1956-10-07	13	13
uc1.32106012375256	6364	THE SOUND OF WAVES	Yukio Mishima	1956	1956-10-07	13	13
uc1.b3727087	6365	THE SOUND WAGON	T. S. Stribling	1936	1936-01-06	8	3
uc1.$b105346	6365	THE SOUND WAGON	T. S. Stribling	1936	1936-01-06	8	3
mdp.39015031305926	6365	THE SOUND WAGON	T. S. Stribling	1936	1936-01-06	8	3
mdp.39015046797679	6366	THE SOURCE	James Michener	1965	1965-05-30	10	1
mdp.39015000612898	6366	THE SOURCE	James Michener	1965	1965-05-30	10	1
mdp.39015014854254	6368	THE SOUTHWEST CORNER	Mildred Walker	1951	1951-06-10	16	15
inu.32000009142003	6369	THE SPANISH GARDENER	A.J. Cronin	1950	1950-09-17	1	4
uc1.$b105558	6370	THE SPIDER KING	Lawrence Schoonover	1954	1954-04-18	13	8
uc1.b4097526	6374	THE SPIRE	Gerald Warner Brace	1952	1952-09-21	14	14
mdp.39015016452198	6374	THE SPIRE	Gerald Warner Brace	1952	1952-09-21	14	14
uc1.b4095536	6376	THE SPIRE	William Golding	1964	1964-05-17	16	3
pst.000019628400	6376	THE SPIRE	William Golding	1964	1964-05-17	16	3
mdp.39015063924909	6380	THE SPY PARAMOUNT	E. Phillips Oppenheim	1935	1935-01-14	3	3
mdp.39015005028694	6383	THE STAND	Stephen King	1979	1979-01-21	6	1
mdp.39015005028686	6383	THE STAND	Stephen King	1979	1979-01-21	6	1
mdp.39015005028678	6383	THE STAND	Stephen King	1979	1979-01-21	6	1
mdp.39015056165635	6383	THE STAND	Stephen King	1979	1979-01-21	6	1
mdp.39015005351849	6387	THE STARS LOOK DOWN	A. J. Cronin	1935	1935-09-30	5	2
pst.000029123254	6387	THE STARS LOOK DOWN	A. J. Cronin	1935	1935-09-30	5	2
mdp.39015031301743	6389	THE STATE VERSUS ELINOR NORTON	Mary Roberts Rinehart	1934	1934-02-05	3	3
uc1.$b756215	6389	THE STATE VERSUS ELINOR NORTON	Mary Roberts Rinehart	1934	1934-02-05	3	3
uc1.$b105266	6392	THE STEEP ASCENT	Anne Morrow Lindbergh	1944	1944-04-16	5	5
mdp.39015009326169	6392	THE STEEP ASCENT	Anne Morrow Lindbergh	1944	1944-04-16	5	5
mdp.39015059718067	6393	THE STEEPER CLIFF	David Davidson	1947	1947-08-24	2	11
uc1.$b236142	6393	THE STEEPER CLIFF	David Davidson	1947	1947-08-24	2	11
mdp.39015054289825	6395	THE STONE MONKEY	Jeffery Deaver	2002	2002-03-31	15	5
mdp.39015006588175	6396	THE STONE OF CHASTITY	Margery Sharp	1940	1940-10-21	5	5
